grid_step_cm,radial_nodes,max_abs_temperature_difference_C,max_abs_moisture_difference_kgkg,nfev,njev,nlu
0.0125,161,2.890023222335003e-05,0.00045777829321913543,3344,75,386
0.00625,321,6.309126092673978e-06,0.0001086609941349792,3326,73,381
0.003125,641,1.266577385194978e-06,2.1716006969541013e-05,3388,76,385
0.0015625,1281,0.0,0.0,3377,76,381
