scenario,h_scale,hm_scale,D_scale,center_temperature_C_1800s,surface_temperature_C_1800s,center_moisture_1800s,surface_moisture_1800s,volume_weighted_moisture_1800s
基准,1.0,1.0,1.0,33.57534418206649,36.785559289497826,2.549992371779374,1.5102397546997888,2.2935516858881666
h -10%,0.9,1.0,1.0,33.29746901084758,36.40879608304169,2.549992371779331,1.510239754710955,2.2935516858864538
h +10%,1.1,1.0,1.0,33.82337330743553,37.11562052540614,2.5499923717793953,1.5102397543873036,2.2935516858122384
hm -10%,1.0,0.9,1.0,33.57534420036137,36.78555930251764,2.549993028951845,1.5843517806761753,2.3116782861518224
hm +10%,1.0,1.1,1.0,33.57534418333694,36.7855592864982,2.5499917347468735,1.4408956569653306,2.2766545290329905
D -10%,1.0,1.0,0.9,33.57534418930669,36.785559269715804,2.5499978011605715,1.4751983747003978,2.2976607619811653
D +10%,1.0,1.0,1.1,33.57534426162505,36.785559328994395,2.5499789035658544,1.5413216768315952,2.2899340161125865
