scenario,time_s,time_h,global_max_moisture_kgkg
S0,0.0,0.0,2.55
S0,300.0,0.08333333333333333,2.55
S0,600.0,0.16666666666666666,2.55
S0,900.0,0.25,2.5500000000000003
S0,1200.0,0.3333333333333333,2.5500000000000003
S0,1500.0,0.4166666666666667,2.5500000000000003
S0,1800.0,0.5,2.5500000000000003
S0,2100.0,0.5833333333333334,2.5500000000000007
S0,2400.0,0.6666666666666666,2.549999999999996
S0,2700.0,0.75,2.549999999999406
S0,3000.0,0.8333333333333334,2.54999999997078
S0,3300.0,0.9166666666666666,2.5499999992989255
S0,3600.0,1.0,2.549999990302771
S0,3900.0,1.0833333333333333,2.5499999126321766
S0,4200.0,1.1666666666666667,2.549999440095972
S0,4500.0,1.25,2.549997278178602
S0,4800.0,1.3333333333333333,2.549989455284147
S0,5100.0,1.4166666666666667,2.5499661339387485
S0,5400.0,1.5,2.54990692782612
S0,5700.0,1.5833333333333333,2.549775816298127
S0,6000.0,1.6666666666666667,2.549517056344997
S0,6300.0,1.75,2.5490530181245483
S0,6600.0,1.8333333333333333,2.548284777651381
S0,6900.0,1.9166666666666667,2.54709645985709
S0,7200.0,2.0,2.5453620156154275
S0,7500.0,2.0833333333333335,2.542962730868841
S0,7800.0,2.1666666666666665,2.539798743227845
S0,8100.0,2.25,2.5357807059814323
S0,8400.0,2.3333333333333335,2.5308341717499987
S0,8700.0,2.4166666666666665,2.524903194514493
S0,9000.0,2.5,2.51795122030697
S0,9300.0,2.5833333333333335,2.5099609879049565
S0,9600.0,2.6666666666666665,2.500927830011006
S0,9900.0,2.75,2.4908607796769644
S0,10200.0,2.8333333333333335,2.4797829167463625
S0,10500.0,2.9166666666666665,2.4677243121565438
S0,10800.0,3.0,2.4547247923538023
S0,11100.0,3.0833333333333335,2.4408180362874625
S0,11400.0,3.1666666666666665,2.4260352818536104
S0,11700.0,3.25,2.4104329254660555
S0,12000.0,3.3333333333333335,2.3940645580267708
S0,12300.0,3.4166666666666665,2.3769778455815054
S0,12600.0,3.5,2.3592199500076494
S0,12900.0,3.5833333333333335,2.340865520062288
S0,13200.0,3.6666666666666665,2.321969343003355
S0,13500.0,3.75,2.3025786665717263
S0,13800.0,3.8333333333333335,2.282735908816815
S0,14100.0,3.9166666666666665,2.26248910644288
S0,14400.0,4.0,2.2418750877247424
S0,14700.0,4.083333333333333,2.2209361804501677
S0,15000.0,4.166666666666667,2.1997092586997344
S0,15300.0,4.25,2.178218964981533
S0,15600.0,4.333333333333333,2.1565007681129305
S0,15900.0,4.416666666666667,2.134589394067851
S0,16200.0,4.5,2.112517092685309
S0,16500.0,4.583333333333333,2.0903315455407414
S0,16800.0,4.666666666666667,2.0680783462116343
S0,17100.0,4.75,2.045782959366679
S0,17400.0,4.833333333333333,2.0234686845856182
S0,17700.0,4.916666666666667,2.0011568448636137
S0,18000.0,5.0,1.978866954067795
S0,18300.0,5.083333333333333,1.9566064577084101
S0,18600.0,5.166666666666667,1.9343813719227771
S0,18900.0,5.25,1.9122068248751694
S0,19200.0,5.333333333333333,1.890096712227228
S0,19500.0,5.416666666666667,1.8680637844545402
S0,19800.0,5.5,1.8461197284733009
S0,20100.0,5.583333333333333,1.8242856374999747
S0,20400.0,5.666666666666667,1.8025814566988783
S0,20700.0,5.75,1.7810157392381851
S0,21000.0,5.833333333333333,1.759596221461735
S0,21300.0,5.916666666666667,1.7383298915567216
S0,21600.0,6.0,1.7172230525799117
S0,21900.0,6.083333333333333,1.696294021234444
S0,22200.0,6.166666666666667,1.6755600878131482
S0,22500.0,6.25,1.6550251202814603
S0,22800.0,6.333333333333333,1.6346924683101676
S0,23100.0,6.416666666666667,1.6145650046139246
S0,23400.0,6.5,1.5946451629362925
S0,23700.0,6.583333333333333,1.5749325636540494
S0,24000.0,6.666666666666667,1.5554265581507207
S0,24300.0,6.75,1.5361286182410816
S0,24600.0,6.833333333333333,1.5170398999701487
S0,24900.0,6.916666666666667,1.498161268609244
S0,25200.0,7.0,1.4794933219360435
S0,25500.0,7.083333333333333,1.4610432722257953
S0,25800.0,7.166666666666667,1.4428177834231377
S0,26100.0,7.25,1.4248162950442353
S0,26400.0,7.333333333333333,1.4070380667593836
S0,26700.0,7.416666666666667,1.3894821976601814
S0,27000.0,7.5,1.3721476437049558
S0,27300.0,7.583333333333333,1.3550460957208106
S0,27600.0,7.666666666666667,1.338188432194537
S0,27900.0,7.75,1.3215722294705823
S0,28200.0,7.833333333333333,1.3051949887951844
S0,28500.0,7.916666666666667,1.2890541463279077
S0,28800.0,8.0,1.2731470823684017
S0,29100.0,8.083333333333334,1.2574671722096968
S0,29400.0,8.166666666666666,1.2420079776181383
S0,29700.0,8.25,1.2267670912022148
S0,30000.0,8.333333333333334,1.2117420680867608
S0,30300.0,8.416666666666666,1.1969304309288649
S0,30600.0,8.5,1.1823296752511088
S0,30900.0,8.583333333333334,1.1679446046163187
S0,31200.0,8.666666666666666,1.1537795734915077
S0,31500.0,8.75,1.1398313935898636
S0,31800.0,8.833333333333334,1.1260968912999447
S0,32100.0,8.916666666666666,1.1125729128579098
S0,32400.0,9.0,1.099256328638558
S0,32700.0,9.083333333333334,1.086140676335747
S0,33000.0,9.166666666666666,1.0732197259283027
S0,33300.0,9.25,1.0604907333255535
S0,33600.0,9.333333333333334,1.0479509767543893
S0,33900.0,9.416666666666666,1.0355977572445556
S0,34200.0,9.5,1.0234283995072848
S0,34500.0,9.583333333333334,1.0114433468952522
S0,34800.0,9.666666666666666,0.9996428816734385
S0,35100.0,9.75,0.9880241298004947
S0,35400.0,9.833333333333334,0.9765842539992845
S0,35700.0,9.916666666666666,0.9653204548335445
S0,36000.0,10.0,0.9542299717680581
S0,36300.0,10.083333333333334,0.9433115007672125
S0,36600.0,10.166666666666666,0.9325636902460294
S0,36900.0,10.25,0.9219837670778674
S0,37200.0,10.333333333333334,0.9115690004317965
S0,37500.0,10.416666666666666,0.90131670074018
S0,37800.0,10.5,0.8912242191588692
S0,38100.0,10.583333333333334,0.8812902437056916
S0,38400.0,10.666666666666666,0.8715134207176788
S0,38700.0,10.75,0.8618911000475972
S0,39000.0,10.833333333333334,0.8524206737276451
S0,39300.0,10.916666666666666,0.843099575463078
S0,39600.0,11.0,0.8339252799542234
S0,39900.0,11.083333333333334,0.8248941180963236
S0,40200.0,11.166666666666666,0.8160025339228307
S0,40500.0,11.25,0.8072482310714036
S0,40800.0,11.333333333333334,0.7986289486500697
S0,41100.0,11.416666666666666,0.7901424609355203
