scenario,time_s,time_h,global_max_moisture_kgkg
S0,0.0,0.0,2.55
S0,300.0,0.08333333333333333,2.55
S0,600.0,0.16666666666666666,2.549999999999961
S0,900.0,0.25,2.5499999987708715
S0,1200.0,0.3333333333333333,2.549999744799146
S0,1500.0,0.4166666666666667,2.5499931099346296
S0,1800.0,0.5,2.549934090715295
S0,2100.0,0.5833333333333334,2.549656418757191
S0,2400.0,0.6666666666666666,2.5487867780567597
S0,2700.0,0.75,2.5467222985071323
S0,3000.0,0.8333333333333334,2.542698082624919
S0,3300.0,0.9166666666666666,2.5359250103250948
S0,3600.0,1.0,2.525737412286722
S0,3900.0,1.0833333333333333,2.5116957688004926
S0,4200.0,1.1666666666666667,2.4936365739889905
S0,4500.0,1.25,2.471664249649499
S0,4800.0,1.3333333333333333,2.446099907620601
S0,5100.0,1.4166666666666667,2.4173925667842515
S0,5400.0,1.5,2.386064113740144
S0,5700.0,1.5833333333333333,2.3526730279351757
S0,6000.0,1.6666666666666667,2.3177347204420355
S0,6300.0,1.75,2.2817173804675415
S0,6600.0,1.8333333333333333,2.245003035753889
S0,6900.0,1.9166666666666667,2.207949285831099
S0,7200.0,2.0,2.1708514966199965
S0,7500.0,2.0833333333333335,2.1339154543230596
S0,7800.0,2.1666666666666665,2.0973322709735993
S0,8100.0,2.25,2.061249131784181
S0,8400.0,2.3333333333333335,2.0257376201875963
S0,8700.0,2.4166666666666665,1.9908548168449862
S0,9000.0,2.5,1.956641746947219
S0,9300.0,2.5833333333333335,1.923134621447898
S0,9600.0,2.6666666666666665,1.8903368666102907
S0,9900.0,2.75,1.8582451921912306
S0,10200.0,2.8333333333333335,1.8268634584056038
S0,10500.0,2.9166666666666665,1.796175606367913
S0,10800.0,3.0,1.7661770965266974
S0,11100.0,3.0833333333333335,1.7368421276742316
S0,11400.0,3.1666666666666665,1.7081464120872687
S0,11700.0,3.25,1.680095047575409
S0,12000.0,3.3333333333333335,1.652676476051654
S0,12300.0,3.4166666666666665,1.625865947139348
S0,12600.0,3.5,1.5996444221584527
S0,12900.0,3.5833333333333335,1.5740035779536756
S0,13200.0,3.6666666666666665,1.5489046248227063
S0,13500.0,3.75,1.5243324523669661
S0,13800.0,3.8333333333333335,1.5002658384194316
S0,14100.0,3.9166666666666665,1.4766977935249315
S0,14400.0,4.0,1.4536060045754475
S0,14700.0,4.083333333333333,1.4309758810506372
S0,15000.0,4.166666666666667,1.4087853259797467
S0,15300.0,4.25,1.3870142599527941
S0,15600.0,4.333333333333333,1.3656567033830618
S0,15900.0,4.416666666666667,1.3447076142549594
S0,16200.0,4.5,1.3241615513287885
S0,16500.0,4.583333333333333,1.304012646127989
S0,16800.0,4.666666666666667,1.2842546172784537
S0,17100.0,4.75,1.2648808104725948
S0,17400.0,4.833333333333333,1.2458842716990015
S0,17700.0,4.916666666666667,1.2272578363932052
S0,18000.0,5.0,1.208994217825884
S0,18300.0,5.083333333333333,1.1910860852658385
S0,18600.0,5.166666666666667,1.173526128227769
S0,18900.0,5.25,1.1563071064800914
S0,19200.0,5.333333333333333,1.1394218871392974
S0,19500.0,5.416666666666667,1.1228634708224796
S0,19800.0,5.5,1.1066250089377179
S0,20100.0,5.583333333333333,1.0906998140388677
S0,20400.0,5.666666666666667,1.0750813649102795
S0,20700.0,5.75,1.0597633077597228
S0,21000.0,5.833333333333333,1.044739454625071
S0,21300.0,5.916666666666667,1.0300037798599373
S0,21600.0,6.0,1.0155504153611181
S0,21900.0,6.083333333333333,1.0013736450355408
S0,22200.0,6.166666666666667,0.9874678988727758
S0,22500.0,6.25,0.9738277468861635
S0,22800.0,6.333333333333333,0.9604478931063609
S0,23100.0,6.416666666666667,0.9473231697505702
S0,23400.0,6.5,0.9344485316484169
S0,23700.0,6.583333333333333,0.9218190509677502
S0,24000.0,6.666666666666667,0.9094299122631928
S0,24300.0,6.75,0.8972764078552842
S0,24600.0,6.833333333333333,0.8853539335325915
S0,24900.0,6.916666666666667,0.8736579845640902
S0,25200.0,7.0,0.8621841520040495
S0,25500.0,7.083333333333333,0.8509281192691367
S0,25800.0,7.166666666666667,0.8398856589664324
S0,26100.0,7.25,0.8290526299510166
S0,26400.0,7.333333333333333,0.8184249745924606
S0,26700.0,7.416666666666667,0.8079987162306308
S0,27000.0,7.5,0.7977699568025607
S0,27300.0,7.583333333333333,0.7877348746236039
S0,27600.0,7.666666666666667,0.777889722307746
S0,27900.0,7.75,0.7682308248125267
S0,28200.0,7.833333333333333,0.758754577597153
S0,28500.0,7.916666666666667,0.7494574448824519
S0,28800.0,8.0,0.7403359580020795
S0,29100.0,8.083333333333334,0.7313867138368129
S0,29400.0,8.166666666666666,0.7226063733239576
S0,29700.0,8.25,0.7139916600349595
S0,30000.0,8.333333333333334,0.7055393588151123
S0,30300.0,8.416666666666666,0.6972463144799466
S0,30600.0,8.5,0.6891094305635314
S0,30900.0,8.583333333333334,0.6811256681144514
S0,31200.0,8.666666666666666,0.6732920445357098
S0,31500.0,8.75,0.6656056324652473
S0,31800.0,8.833333333333334,0.6580635586941115
S0,32100.0,8.916666666666666,0.6506630031196596
S0,32400.0,9.0,0.6434011977312947
S0,32700.0,9.083333333333334,0.6362754256273985
S0,33000.0,9.166666666666666,0.6292830200600886
S0,33300.0,9.25,0.622421363507538
S0,33600.0,9.333333333333334,0.6156878867716856
S0,33900.0,9.416666666666666,0.6090800681000339
S0,34200.0,9.5,0.6025954323302923
S0,34500.0,9.583333333333334,0.5962315500567114
S0,34800.0,9.666666666666666,0.5899860368170616
S0,35100.0,9.75,0.583856552299282
S0,35400.0,9.833333333333334,0.5778407995669054
S0,35700.0,9.916666666666666,0.5719365243025449
S0,36000.0,10.0,0.5661415140681042
S0,36300.0,10.083333333333334,0.5604535975821044
S0,36600.0,10.166666666666666,0.5548706440123918
S0,36900.0,10.25,0.5493905622840661
S0,37200.0,10.333333333333334,0.5440113004019825
S0,37500.0,10.416666666666666,0.538730844787245
S0,37800.0,10.5,0.5335472196271717
S0,38100.0,10.583333333333334,0.5284584862382197
S0,38400.0,10.666666666666666,0.5234627424413991
S0,38700.0,10.75,0.5185581219497228
S0,39000.0,10.833333333333334,0.5137427937672593
S0,39300.0,10.916666666666666,0.5090149615993809
S0,39600.0,11.0,0.504372863273744
S0,39900.0,11.083333333333334,0.4998147701719677
S0,40200.0,11.166666666666666,0.495338986671057
S0,40500.0,11.25,0.4909438495947005
S0,40800.0,11.333333333333334,0.4866277276740191
S0,41100.0,11.416666666666666,0.48238902101740055
