time_s,radius_cm
0.0,2.0
60.0,1.995766666666667
120.0,1.9915333333333334
180.0,1.9873000000000003
240.0,1.9830666666666668
300.0,1.9788333333333334
360.0,1.9746
420.0,1.9703666666666668
480.0,1.9661333333333333
540.0,1.9619000000000002
600.0,1.9576666666666667
660.0,1.9534333333333334
720.0,1.9491999999999998
780.0,1.9449666666666667
840.0,1.9407333333333332
900.0,1.9365
960.0,1.9322666666666668
1020.0,1.9280333333333333
1080.0,1.9238000000000002
1140.0,1.9195666666666666
1200.0,1.9153333333333336
1260.0,1.9111
1320.0,1.9068666666666667
1380.0,1.9026333333333332
1440.0,1.8984
1500.0,1.8941666666666666
1560.0,1.8899333333333335
1620.0,1.8857
1680.0,1.8814666666666666
1740.0,1.8772333333333335
1800.0,1.873
1860.0,1.8703666666666667
1920.0,1.8677333333333335
1980.0,1.8651
2040.0,1.8624666666666667
2100.0,1.8598333333333334
2160.0,1.8572000000000002
2220.0,1.854566666666667
2280.0,1.8519333333333332
2340.0,1.8493
2400.0,1.8466666666666667
2460.0,1.8440333333333332
2520.0,1.8414
2580.0,1.8387666666666667
2640.0,1.8361333333333334
2700.0,1.8335000000000001
2760.0,1.8308666666666666
2820.0,1.8282333333333334
2880.0,1.8256000000000001
2940.0,1.8229666666666668
3000.0,1.8203333333333336
3060.0,1.8177000000000003
3120.0,1.8150666666666668
3180.0,1.8124333333333333
3240.0,1.8097999999999999
3300.0,1.8071666666666666
3360.0,1.8045333333333333
3420.0,1.8019
3480.0,1.7992666666666668
3540.0,1.7966333333333333
3600.0,1.794
3660.0,1.7909666666666668
3720.0,1.7879333333333334
3780.0,1.7849
3840.0,1.7818666666666667
3900.0,1.7788333333333333
3960.0,1.7758
4020.0,1.7727666666666666
4080.0,1.7697333333333336
4140.0,1.7667000000000002
4200.0,1.763666666666667
4260.0,1.7606333333333335
4320.0,1.7576
4380.0,1.7545666666666668
4440.0,1.7515333333333334
4500.0,1.7485
4560.0,1.7454666666666667
4620.0,1.7424333333333333
4680.0,1.7394
4740.0,1.7363666666666666
4800.0,1.7333333333333332
4860.0,1.7303
4920.0,1.7272666666666665
4980.0,1.7242333333333333
5040.0,1.7212
5100.0,1.7181666666666668
5160.0,1.7151333333333334
5220.0,1.7121000000000002
5280.0,1.7090666666666667
5340.0,1.7060333333333333
5400.0,1.703
5460.0,1.7004
5520.0,1.6978
5580.0,1.6952000000000003
5640.0,1.6926
5700.0,1.69
5760.0,1.6874
5820.0,1.6848
5880.0,1.6822
5940.0,1.6795999999999998
6000.0,1.677
6060.0,1.6744
6120.0,1.6718
6180.0,1.6691999999999998
6240.0,1.6666
6300.0,1.6640000000000001
6360.0,1.6614
6420.0,1.6587999999999998
6480.0,1.6562000000000001
6540.0,1.6536000000000002
6600.0,1.651
6660.0,1.6483999999999999
6720.0,1.6458
6780.0,1.6432000000000002
6840.0,1.6406
6900.0,1.638
6960.0,1.6354
7020.0,1.6328000000000003
7080.0,1.6302
7140.0,1.6276
7200.0,1.625
7260.0,1.6238
7320.0,1.6226
7380.0,1.6214
7440.0,1.6202
7500.0,1.619
7560.0,1.6178000000000001
7620.0,1.6166
7680.0,1.6154000000000002
7740.0,1.6142
7800.0,1.6130000000000002
7860.0,1.6118000000000001
7920.0,1.6106000000000003
7980.0,1.6094000000000002
8040.0,1.6082000000000003
8100.0,1.6070000000000002
8160.0,1.6058
8220.0,1.6046
8280.0,1.6034
8340.0,1.6022
8400.0,1.601
8460.0,1.5998
8520.0,1.5986
8580.0,1.5974000000000002
8640.0,1.5962
8700.0,1.5950000000000002
8760.0,1.5938
8820.0,1.5926000000000002
8880.0,1.5914000000000001
8940.0,1.5902000000000003
9000.0,1.5890000000000002
9060.0,1.5877666666666668
9120.0,1.5865333333333336
9180.0,1.5853000000000002
9240.0,1.584066666666667
9300.0,1.5828333333333333
9360.0,1.5816000000000001
9420.0,1.5803666666666667
9480.0,1.5791333333333335
9540.0,1.5779
9600.0,1.5766666666666669
9660.0,1.5754333333333335
9720.0,1.5742000000000003
9780.0,1.5729666666666666
9840.0,1.5717333333333334
9900.0,1.5705
9960.0,1.5692666666666668
10020.0,1.5680333333333334
10080.0,1.5668000000000002
10140.0,1.5655666666666668
10200.0,1.5643333333333336
10260.0,1.5631000000000002
10320.0,1.5618666666666667
10380.0,1.5606333333333335
10440.0,1.5594000000000001
10500.0,1.5581666666666667
10560.0,1.5569333333333335
10620.0,1.5557
10680.0,1.5544666666666667
10740.0,1.5532333333333335
10800.0,1.552
10860.0,1.5506
10920.0,1.5492000000000001
10980.0,1.5478
11040.0,1.5464
11100.0,1.545
11160.0,1.5436
11220.0,1.5422
11280.0,1.5408000000000002
11340.0,1.5394
11400.0,1.538
11460.0,1.5366000000000002
11520.0,1.5352000000000001
11580.0,1.5338
11640.0,1.5324
11700.0,1.5310000000000001
11760.0,1.5296
11820.0,1.5282
11880.0,1.5268
11940.0,1.5254
12000.0,1.524
12060.0,1.5226
12120.0,1.5211999999999999
12180.0,1.5198
12240.0,1.5184000000000002
12300.0,1.5170000000000001
12360.0,1.5156
12420.0,1.5142
12480.0,1.5128000000000001
12540.0,1.5114
12600.0,1.51
12660.0,1.5089
12720.0,1.5078
12780.0,1.5067000000000002
12840.0,1.5056
12900.0,1.5045000000000002
12960.0,1.5034
13020.0,1.5023
13080.0,1.5012
13140.0,1.5001
13200.0,1.4989999999999999
13260.0,1.4979
13320.0,1.4968000000000001
13380.0,1.4957
13440.0,1.4946000000000002
13500.0,1.4935
13560.0,1.4924
13620.0,1.4913
13680.0,1.4902
13740.0,1.4890999999999999
13800.0,1.488
13860.0,1.4869
13920.0,1.4858
13980.0,1.4847000000000001
14040.0,1.4836
14100.0,1.4825
14160.0,1.4814
14220.0,1.4803
14280.0,1.4792
14340.0,1.4781
14400.0,1.477
14460.0,1.476
14520.0,1.475
14580.0,1.474
14640.0,1.473
14700.0,1.472
14760.0,1.471
14820.0,1.47
14880.0,1.469
14940.0,1.468
15000.0,1.467
15060.0,1.466
15120.0,1.465
15180.0,1.464
15240.0,1.463
15300.0,1.4620000000000002
15360.0,1.461
15420.0,1.46
15480.0,1.459
15540.0,1.4580000000000002
15600.0,1.4569999999999999
15660.0,1.456
15720.0,1.455
15780.0,1.4540000000000002
15840.0,1.4529999999999998
15900.0,1.452
15960.0,1.451
16020.0,1.4500000000000002
16080.0,1.4489999999999998
16140.0,1.448
16200.0,1.447
16260.0,1.4462333333333335
16320.0,1.4454666666666667
16380.0,1.4446999999999999
16440.0,1.4439333333333333
16500.0,1.4431666666666667
16560.0,1.4424
16620.0,1.4416333333333333
16680.0,1.4408666666666667
16740.0,1.4401000000000002
16800.0,1.4393333333333334
16860.0,1.4385666666666665
16920.0,1.4378
16980.0,1.4370333333333334
17040.0,1.4362666666666666
17100.0,1.4355
