scenario,h_scale,hm_scale,D_scale,center_temperature_C_3h,surface_temperature_C_3h,center_moisture_3h,surface_moisture_3h,volume_weighted_moisture_3h
基准,1.0,1.0,1.0,49.84949809246484,49.96641477473412,1.7661777318669567,1.0081174072382713,1.3825176910619914
h -10%,0.9,1.0,1.0,49.79870526394785,49.92660268753792,1.7707226026070915,1.008878226937856,1.3847356037957994
h +10%,1.1,1.0,1.0,49.88357751968374,49.99356799337056,1.7625582960658734,1.0073947802855314,1.3806901828815346
hm -10%,1.0,0.9,1.0,49.843576465212664,49.9615378794158,1.8096295775496418,1.0877761307334912,1.4437543576846457
hm +10%,1.0,1.1,1.0,49.85476296469665,49.970789989955506,1.727165934231731,0.9371330969198489,1.328014476358705
D -10%,1.0,1.0,0.9,49.846381809850186,49.964631103006695,1.8255461938989443,0.9928717972232065,1.4040662363028746
D +10%,1.0,1.0,1.1,49.85221510765899,49.96797621833156,1.7150829983227933,1.020520485192133,1.3637903652578451
