时间/s,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0
0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
1,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5201290196824626
2,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.54999999999745,2.507647424851828
3,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999984981634,2.498152627355757
4,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999435658176,2.490192288911322
5,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999413471963,2.483209383563712
6,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999998,2.5499969741924624,2.476919488327167
7,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999946,2.5499897720589186,2.471154065865152
8,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999989456,2.549973732973212,2.4658035221604884
9,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999988604,2.5499441453470486,2.4607917948759512
10,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999919065,2.5498962738113615,2.456063582806706
11,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999995825795,2.54982580951797,2.4515771564391953
12,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999983226176,2.5497291263879847,2.447300110060878
13,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.5499999944547196,2.549603374213929,2.443206702415146
14,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999976,2.549999984329428,2.5494464715107057,2.4392760611377944
15,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999986,2.5499999610334076,2.5492570386455737,2.4354909855530518
16,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999931,2.5499999127812614,2.5490343007169893,2.4318371150779727
17,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999707,2.549999821164889,2.5487779877106966,2.428302306125026
18,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999998929,2.5499996594207195,2.5484882386694814,2.4248761751128596
19,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999965275,2.5499993908621095,2.548165513792053,2.4215497639591868
20,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999989903,2.549998967604363,2.547810519121224,2.4183152831626713
21,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999732594,2.5499983297007387,2.5474241448417296,2.4151659099060043
22,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999934583,2.549997404730534,2.5470074144398773,2.412095626134911
23,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.549999999851062,2.5499961077268543,2.5465614413388007,2.409099087908488
24,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.5499999996819596,2.5499943415428334,2.5460873954143177,2.4061715260909526
25,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999998,2.549999999358317,2.549991997587632,2.545586477589971,2.4033086659118243
26,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999923,2.549999998768915,2.5499889568274683,2.545059899875919,2.4005066581790375
27,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.54999999999998,2.5499999977420336,2.5499850909684096,2.544508869334409,2.3977620207866135
28,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999949,2.549999996022044,2.549980263780884,2.543934576086553,2.3950715919206607
29,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999878,2.5499999932430284,2.549974332467387,2.543338183409536,2.392432488350945
30,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999997223,2.549999988896092,2.5499671491136584,2.542720821939,2.389842073681182
31,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999397,2.5499999822924484,2.549958562104309,2.5420835853909685,2.387297930099317
32,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999998752,2.5499999725250264,2.5499484175127414,2.5414275268836906,2.384797832169446
33,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999975165,2.549999958420962,2.549936560407821,2.5407536589891753,2.38233972985393
34,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999952396,2.5499999384973338,2.5499228360030974,2.540062951316952,2.3799217269371415
35,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999991181,2.5499999109134994,2.5499070907416934,2.539356330458336,2.3775420657221895
36,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999984147,2.5499998734230336,2.5498891732440923,2.5386346804735846,2.3751991137648956
37,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.5499999999723575,2.549999823326197,2.5498689353087065,2.537898842830399,2.372891349043045
38,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999985,2.5499999999530605,2.5499997574229423,2.5498462324264293,2.5371496190699965,2.370617354638895
39,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999997,2.5499999999223513,2.5499996719682247,2.5498209247724994,2.536387770188184,2.368375802661816
40,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999945,2.5499999998745855,2.5499995626288756,2.549792877411891,2.5356140200359256,2.3661654527499305
41,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999896,2.5499999998017504,2.5499994244508764,2.549761960776047,2.5348290556561874,2.3639851418718734
42,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999807,2.5499999996931013,2.5499992518139165,2.5497280513030076,2.5340335290185543,2.3618337760513017
43,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999963,2.5499999995338323,2.54999903841772,2.549691031242837,2.533228058603774,2.3597103279033274
44,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999323,2.549999999304439,2.5499987772458654,2.5496507892171905,2.532413230860113,2.3576138284740122
45,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999882,2.5499999989794,2.5499984605514547,2.549607220189034,2.531589601721583,2.3555433635793
46,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999997955,2.5499999985253083,2.5499980798564135,2.5495602254037584,2.5307576982714384,2.353498071153226
47,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999996548,2.5499999979008403,2.549997625899268,2.549509712952437,2.5299180200476012,2.3514771321794945
48,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999994274,2.5499999970525447,2.5499970886990546,2.549455596899385,2.529071040632635,2.3494797752004475
49,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999071,2.549999995915994,2.5499964574716354,2.5493977982150753,2.5282172091273143,2.347505264180138
50,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999998516,2.549999994409884,2.5499957207344184,2.549336243589035,2.527356950998058,2.3455529050046158
51,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999997674,2.549999992437629,2.54999486621423,2.5492708663287953,2.526490670130602,2.343622034376714
52,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999964085,2.549999989880608,2.549993880966006,2.5492016053040887,2.525618748873035,2.3417120246850054
53,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999945464,2.549999986599462,2.5499927512941807,2.549128405511245,2.524741550431492,2.339822275937837
54,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.549999999991828,2.5499999824271726,2.5499914628645945,2.549051217353782,2.5238594186305603,2.337952218349814
55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999976,2.549999999987933,2.549999977169682,2.5499900006494705,2.5489699968534043,2.5229726801575145,2.336101306651189
