grid_step_cm,radial_nodes,event_time_h,event_time_difference_s_vs_finest,nfev,njev,nlu
0.00625,321,57.564806837647694,1411.56242743705,22642,487,2648
0.003125,641,57.237485503133094,233.20562379068,22611,484,2621
0.0015625,1281,57.183632996396434,39.33659953871,22524,461,2634
0.00078125,2561,57.172706163191236,0.0,22570,457,2626

